n;w;time
200;1;3
200;1;3
200;1;3
200;1;3
200;1;3
200;2;2
200;2;2
200;2;2
200;2;2
200;2;2
200;4;1
200;4;1
200;4;1
200;4;1
200;4;2
200;8;2
200;8;3
200;8;2
200;8;2
200;8;2
200;12;3
200;12;3
200;12;3
200;12;3
200;12;3
200;16;4
200;16;4
200;16;4
200;16;4
200;16;4
200;20;4
200;20;4
200;20;4
200;20;4
200;20;4
400;1;20
400;1;20
400;1;21
400;1;21
400;1;21
400;2;11
400;2;11
400;2;10
400;2;10
400;2;11
400;4;6
400;4;6
400;4;6
400;4;6
400;4;6
400;8;5
400;8;5
400;8;5
400;8;5
400;8;5
400;12;5
400;12;5
400;12;5
400;12;5
400;12;5
400;16;7
400;16;7
400;16;7
400;16;6
400;16;7
400;20;7
400;20;7
400;20;7
400;20;7
400;20;7
800;1;153
800;1;163
800;1;157
800;1;153
800;1;159
800;2;80
800;2;77
800;2;77
800;2;79
800;2;80
800;4;40
800;4;39
800;4;40
800;4;41
800;4;40
800;8;24
800;8;22
800;8;22
800;8;23
800;8;23
800;12;17
800;12;17
800;12;17
800;12;17
800;12;17
800;16;21
800;16;19
800;16;20
800;16;20
800;16;22
800;20;21
800;20;21
800;20;28
800;20;28
800;20;27
1600;1;1712
1600;1;1711
1600;1;1716
1600;1;1718
1600;1;1703
1600;2;858
1600;2;860
1600;2;859
1600;2;860
1600;2;858
1600;4;444
1600;4;444
1600;4;444
1600;4;443
1600;4;447
1600;8;231
1600;8;232
1600;8;232
1600;8;232
1600;8;233
1600;12;157
1600;12;158
1600;12;158
1600;12;157
1600;12;157
1600;16;143
1600;16;143
1600;16;145
1600;16;145
1600;16;147
1600;20;185
1600;20;187
1600;20;186
1600;20;185
1600;20;186
3200;1;21141
3200;1;21075
3200;1;21018
3200;1;21120
3200;1;21098
3200;2;10811
3200;2;10813
3200;2;10876
3200;2;10824
3200;2;10835
3200;4;5849
3200;4;5912
3200;4;5936
3200;4;5932
3200;4;5960
3200;8;3114
3200;8;3080
3200;8;3114
3200;8;3137
3200;8;3228
3200;12;1519
3200;12;1691
3200;12;1638
3200;12;1585
3200;12;1590
3200;16;1278
3200;16;1299
3200;16;1296
3200;16;1241
3200;16;1342
3200;20;1917
3200;20;1913
3200;20;1899
3200;20;1906
3200;20;1882
